Name,TeamAbbreviation,GamesPlayed,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtsMade,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage,season,season_type
Marc Gasol,MEM,74,2531,4829,19.54054054054054,5.783783783783784,12.054054054054054,0.4798206278026906,1.4054054054054057,3.6216216216216215,0.3880597014925373,0.3909774436090225,3.756756756756757,6.594594594594594,4.972972972972973,4.135135135135135,0.08108108108108109,0.5700934579439252,0.5865384615384616,0.9807692307692308,0.2310344827586207,0.455557512953368,0.503448275862069,0.5493920972644377,0.32432432432432434,0.3108108108108108,0.0257847533632287,0.0,0.0,26.70920692798541,2016-17,regular season
Kentavious Caldwell-Pope,DET,76,2529,5002,13.776315789473687,2.8552631578947367,6.4605263157894735,0.4419551934826884,2.013157894736842,5.75,0.3501144164759725,0.3566433566433567,2.026315789473684,3.0,2.7105263157894743,4.7368421052631575,1.3026315789473684,0.5253456221198156,0.5377358490566038,0.7843137254901961,0.4709051724137931,0.5099684640522876,0.4811422413793103,0.5183168316831683,0.13157894736842105,0.3684210526315789,0.057026476578411416,0.013157894736842105,0.0022883295194508014,18.96249561864704,2016-17,regular season
Kyrie Irving,CLE,72,2525,5064,25.222222222222218,6.861111111111112,13.597222222222221,0.5045965270684372,2.458333333333333,6.125,0.4013605442176871,0.4050343249427917,4.125,3.055555555555556,10.666666666666666,3.9166666666666665,3.458333333333333,0.22267206477732795,0.2249488752556237,0.5310734463276836,0.3105633802816901,0.5021467422096317,0.5348591549295775,0.5765079365079365,0.1388888888888889,1.0,0.0735444330949949,0.04166666666666666,0.006802721088435374,29.902473005921284,2016-17,regular season
Gordon Hayward,UTA,73,2516,4774,21.931506849315067,5.424657534246576,10.712328767123287,0.5063938618925832,2.041095890410959,5.123287671232877,0.3983957219251337,0.39946380697050937,4.9589041095890405,4.6575342465753415,6.191780821917808,4.561643835616438,1.5616438356164384,0.4292929292929293,0.4358974358974359,0.7449664429530202,0.3235294117647059,0.5083137901127494,0.5358996539792388,0.5886029411764706,0.1643835616438356,0.5616438356164384,0.05242966751918159,0.0136986301369863,0.00267379679144385,27.39317036760589,2016-17,regular season
Hassan Whiteside,MIA,77,2514,4925,17.0,7.038961038961038,12.636363636363635,0.5570400822199383,0.0,0.0,0.0,0.0,2.9220779220779223,8.233766233766234,5.8441558441558445,0.0,0.0,0.584870848708487,0.7171945701357466,0.0,0.0,0.5305445015416238,0.5570400822199383,0.5807453416149069,2.5974025974025974,0.8181818181818182,0.06474820143884892,0.0,0.0,22.66690278023729,2016-17,regular season
Wesley Matthews,DAL,73,2495,4773,13.506849315068493,2.1780821917808217,5.0410958904109595,0.4320652173913043,2.3835616438356166,6.5616438356164375,0.3632567849686848,0.3655462184873949,2.0,1.2876712328767124,3.068493150684932,6.0,1.1506849315068493,0.29559748427672955,0.3012820512820513,0.8390804597701149,0.5655253837072018,0.5029239928909952,0.4958677685950413,0.5255863539445629,0.0821917808219178,0.273972602739726,0.05434782608695652,0.0547945205479452,0.008350730688935281,19.677481282395853,2016-17,regular season
Dennis Schroder,ATL,79,2485,5038,17.898734177215193,5.670886075949367,11.645569620253164,0.4869565217391305,1.2658227848101269,3.7215189873417716,0.3401360544217687,0.3412969283276451,2.759493670886076,2.3797468354430378,8.962025316455696,2.5443037974683542,1.2531645569620251,0.20982142857142855,0.21076233183856505,0.67,0.2421746293245469,0.5118768373245252,0.4925864909390445,0.5284005979073244,0.05063291139240506,1.3670886075949369,0.11739130434782608,0.05063291139240506,0.013605442176870748,27.60070052539405,2016-17,regular season
Kawhi Leonard,SAS,74,2475,4815,25.513513513513512,6.608108108108107,12.5,0.5286486486486487,1.9864864864864864,5.229729729729731,0.3798449612403101,0.3798449612403101,6.337837837837838,5.081081081081081,8.135135135135135,4.662162162162162,1.2972972972972974,0.3844580777096113,0.3974630021141649,0.782312925170068,0.294969512195122,0.4876412595419848,0.5407774390243902,0.6055163566388709,0.4324324324324325,0.4324324324324325,0.034594594594594595,0.013513513513513514,0.002583979328165375,31.16022099447514,2016-17,regular season
Draymond Green,GSW,76,2471,5149,10.210526315789474,2.513157894736842,5.092105263157895,0.4935400516795866,1.0657894736842106,3.4605263157894735,0.30798479087452474,0.3103448275862069,1.9868421052631582,3.5789473684210527,1.4473684210526316,3.1184210526315788,0.07894736842105263,0.7120418848167539,0.7906976744186046,0.9753086419753086,0.4046153846153846,0.5614954475308641,0.4807692307692308,0.5166444740346205,0.5,0.5131578947368421,0.1007751937984496,0.02631578947368421,0.0076045627376425855,16.263698034440772,2016-17,regular season
Ricky Rubio,MIN,75,2469,4879,11.146666666666668,2.68,6.053333333333334,0.4427312775330397,0.8,2.6133333333333333,0.30612244897959184,0.3125,3.3866666666666667,1.44,3.92,2.28,0.12,0.26865671641791045,0.27,0.95,0.30153846153846153,0.490884031007752,0.4476923076923077,0.523153942428035,0.02666666666666667,0.4133333333333333,0.06828193832599119,0.0,0.0,17.375630857966836,2016-17,regular season
