season_name,team_name,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff
2016-17,SA,61,21,.744,31-10,30-11,11-5,36-16,105.3,98.1,+7.2
2016-17,HOU,55,27,.671,30-11,25-16,10-6,36-16,115.3,109.6,+5.7
2016-17,BOS,53,29,.646,30-11,23-18,11-5,36-16,108.0,105.4,+2.6
2016-17,CLE,51,31,.622,31-10,20-21,8-8,35-17,110.3,107.2,+3.1
2016-17,UTAH,51,31,.622,29-12,22-19,8-8,31-21,100.7,96.8,+3.9
2016-17,TOR,51,31,.622,28-13,23-18,14-2,34-18,106.9,102.6,+4.3
2016-17,LAC,51,31,.622,29-12,22-19,10-6,31-21,108.7,104.4,+4.3
2016-17,WSH,49,33,.598,30-11,19-22,8-8,32-20,109.2,107.4,+1.8
2016-17,OKC,47,35,.573,28-13,19-22,10-6,29-23,106.6,105.8,+0.8
2016-17,ATL,43,39,.524,23-18,20-21,6-10,30-22,103.2,104.0,-0.8
2016-17,MEM,43,39,.524,24-17,19-22,8-8,28-24,100.5,100.0,+0.5
2016-17,MIL,42,40,.512,23-18,19-22,10-6,27-25,103.6,103.8,-0.2
2016-17,IND,42,40,.512,29-12,13-28,8-8,26-26,105.1,105.3,-0.2
2016-17,POR,41,41,.500,25-16,16-25,11-5,28-24,107.9,108.5,-0.6
2016-17,CHI,41,41,.500,25-16,16-25,9-7,28-24,102.9,102.4,+0.5
2016-17,MIA,41,41,.500,23-18,18-23,9-7,27-25,103.2,102.1,+1.1
2013-14,IND,56,26,.683,35-6,21-20,12-4,38-14,96.7,92.3,+4.4
2013-14,MIA,54,28,.659,32-9,22-19,12-4,34-18,102.2,97.4,+4.8
2013-14,HOU,54,28,.659,33-8,21-20,11-5,31-21,107.7,103.1,+4.6
2013-14,POR,54,28,.659,31-10,23-18,13-3,31-21,106.7,102.8,+3.9
2013-14,GS,51,31,.622,27-14,24-17,11-5,31-21,104.3,99.5,+4.8
2013-14,MEM,50,32,.610,27-14,23-18,4-12,29-23,96.1,94.6,+1.5
2013-14,DAL,49,33,.598,26-15,23-18,9-7,29-23,104.8,102.4,+2.4
2013-14,TOR,48,34,.585,26-15,22-19,11-5,32-20,101.3,98.0,+3.3
2013-14,CHI,48,34,.585,27-14,21-20,11-5,35-17,93.7,91.8,+1.9
2013-14,PHX,48,34,.585,26-15,22-19,8-8,28-24,105.2,102.6,+2.6
2013-14,WSH,44,38,.537,22-19,22-19,10-6,33-19,100.7,99.4,+1.3
2013-14,BKN,44,38,.537,28-13,16-25,9-7,26-26,98.5,99.5,-1.0
2013-14,CHA,43,39,.524,25-16,18-23,6-10,30-22,96.9,97.1,-0.2
2013-14,MIN,40,42,.488,24-17,16-25,7-9,23-29,106.9,104.3,+2.6
2013-14,ATL,38,44,.463,24-17,14-27,8-8,28-24,101.0,101.5,-0.5
2013-14,NY,37,45,.451,19-22,18-23,10-6,26-26,98.6,99.4,-0.8
2009-10,NJ,12,70,.146,8-33,4-37,3-13,8-44,92.4,101.5,-9.1
2014-15,BOS,40,42,.488,21-20,19-22,12-4,28-24,101.4,101.2,+0.2
2014-15,PHX,39,43,.476,22-19,17-24,6-10,21-31,102.4,103.3,-0.9
2014-15,BKN,38,44,.463,19-22,19-22,10-6,24-28,98.0,100.9,-2.9
