Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
Lou Williams,HOU,81,1993,2.9506172839506166,6.382716049382715,2.469135802469136,0.4814814814814815,1.839506172839506,0.4074074074074074,0.2222222222222222,0.16049382716049382,0.32098765432098764,2016-17,regular season
Taj Gibson,OKC,78,1989,0.935897435897436,2.102564102564102,0.7051282051282052,0.2307692307692308,0.41025641025641024,0.07692307692307693,0.21794871794871795,0.1282051282051282,0.10256410256410256,2016-17,regular season
Matthew Dellavedova,MIL,76,1986,4.697368421052632,10.644736842105264,3.4473684210526314,1.25,2.421052631578948,0.5394736842105263,0.4868421052631579,0.34210526315789475,0.9078947368421052,2016-17,regular season
Malcolm Brogdon,MIL,75,1982,4.226666666666667,9.826666666666666,2.853333333333333,1.3733333333333333,1.9066666666666667,0.48,0.4666666666666667,0.4933333333333334,0.88,2016-17,regular season
Joe Ingles,UTA,82,1972,2.7439024390243905,6.317073170731707,1.9146341463414636,0.8292682926829268,1.5243902439024388,0.2073170731707317,0.18292682926829268,0.3780487804878049,0.451219512195122,2016-17,regular season
Rodney McGruder,MIA,78,1966,1.5897435897435896,3.7948717948717943,0.9743589743589745,0.6153846153846154,0.6025641025641025,0.19230769230769232,0.1794871794871795,0.2435897435897436,0.3717948717948718,2016-17,regular season
Kent Bazemore,ATL,73,1963,2.4246575342465757,5.410958904109589,1.8630136986301369,0.5616438356164384,1.356164383561644,0.2328767123287671,0.273972602739726,0.2054794520547945,0.3561643835616438,2016-17,regular season
Ish Smith,DET,81,1955,5.1604938271604945,12.185185185185185,3.2962962962962963,1.8641975308641976,1.6913580246913582,0.8888888888888888,0.7160493827160493,0.5432098765432098,1.3209876543209875,2016-17,regular season
Terrence Ross,ORL,78,1955,1.1282051282051282,2.6538461538461537,0.7307692307692307,0.3974358974358974,0.4871794871794872,0.10256410256410256,0.14102564102564102,0.10256410256410256,0.2948717948717949,2016-17,regular season
Frank Kaminsky,CHA,75,1954,2.16,5.16,1.32,0.84,0.7066666666666667,0.17333333333333334,0.44,0.12,0.72,2016-17,regular season
Jon Leuer,DET,75,1944,1.48,3.333333333333333,1.106666666666667,0.37333333333333335,0.5333333333333333,0.4,0.17333333333333334,0.08,0.2933333333333333,2016-17,regular season
Iman Shumpert,CLE,76,1937,1.4342105263157894,3.486842105263158,0.8157894736842105,0.618421052631579,0.5,0.15789473684210525,0.15789473684210525,0.2368421052631579,0.3815789473684211,2016-17,regular season
Chris Paul,LAC,61,1921,9.229508196721312,21.163934426229513,6.524590163934426,2.7049180327868854,4.0,0.4262295081967213,2.098360655737705,0.8032786885245902,1.901639344262295,2016-17,regular season
Tony Allen,MEM,71,1914,1.3802816901408448,3.0985915492957745,1.0422535211267605,0.3380281690140845,0.5774647887323944,0.14084507042253522,0.323943661971831,0.08450704225352113,0.2535211267605634,2016-17,regular season
Buddy Hield,SAC,82,1888,1.4756097560975612,3.5121951219512195,0.9146341463414634,0.5609756097560976,0.4634146341463415,0.15853658536585366,0.2926829268292683,0.13414634146341464,0.4268292682926829,2016-17,regular season
Kevin Love,CLE,60,1885,1.9333333333333331,4.533333333333333,1.2666666666666666,0.6666666666666666,1.0666666666666669,0.05,0.15,0.3,0.36666666666666653,2016-17,regular season
DeMarre Carroll,TOR,72,1881,1.0277777777777777,2.430555555555556,0.6527777777777778,0.375,0.375,0.1527777777777778,0.125,0.05555555555555555,0.3194444444444444,2016-17,regular season
Joe Johnson,UTA,78,1843,1.8461538461538465,4.474358974358975,1.064102564102564,0.7820512820512819,0.7564102564102564,0.14102564102564102,0.16666666666666666,0.3717948717948718,0.41025641025641024,2016-17,regular season
Rajon Rondo,CHI,69,1843,6.681159420289855,15.057971014492756,4.985507246376812,1.6956521739130437,2.5217391304347827,1.2173913043478262,1.2463768115942029,0.5797101449275363,1.115942028985507,2016-17,regular season
Avery Bradley,BOS,55,1835,2.2,5.236363636363637,1.3636363636363635,0.8363636363636363,0.7818181818181819,0.2909090909090909,0.2909090909090909,0.2,0.6363636363636364,2016-17,regular season
Greg Monroe,MIL,81,1823,2.308641975308642,5.320987654320987,1.6049382716049383,0.7037037037037037,1.2222222222222223,0.16049382716049382,0.2222222222222222,0.25925925925925924,0.4444444444444444,2016-17,regular season
E'Twaun Moore,NOP,73,1820,2.246575342465753,5.178082191780822,1.5616438356164384,0.6849315068493149,0.821917808219178,0.3150684931506849,0.4246575342465753,0.2054794520547945,0.4794520547945205,2016-17,regular season
D'Angelo Russell,LAL,63,1811,4.809523809523808,11.333333333333336,3.095238095238096,1.7142857142857142,1.984126984126984,0.5079365079365079,0.6031746031746031,0.6349206349206349,1.0793650793650793,2016-17,regular season
Danny Green,SAS,68,1807,1.8235294117647056,3.9705882352941178,1.5,0.3235294117647059,0.75,0.2647058823529412,0.4852941176470588,0.14705882352941174,0.17647058823529413,2016-17,regular season
